Column 4,ABC,Agency Name,Agency description
530,U,U.S. Central Command (CENTCOM),"The U.S Central Command (CENTCOM) is responsible for defending and promoting U.S. interests in 20 nations in the Middle East, Central and South Asia, and the strategic waterways that surround them."
531,U,U.S. Chemical Safety Board (CSB),The Chemical Safety Board (CSB) investigates industrial chemical accidents.
532,U,U.S. Citizenship and Immigration Services (USCIS),The U.S. Citizenship and Immigration Services (USCIS) is responsible for processing immigration and naturalization applications and establishing policies regarding immigration services.
533,U,U.S. Coast Guard (USCG),The U.S. Coast Guard (USCG) safeguards the maritime interests of the United States and the environment around the world.
534,U,U.S. Commission of Fine Arts,"The U. S. Commission of Fine Arts advises the government on matters pertaining to the arts, and to guide the architectural development of Washington."
535,U,U.S. Commission on International Religious Freedom (USCIRF),"The U.S. Commission on International Religious Freedom (USCIRF) reviews the facts and circumstances of violations of religious freedom internationally and to make policy recommendations to the President, the Secretary of State and Congress."
536,U,U.S. Commodity Futures Trading Commission (CFTC),"The Commodity Futures Trading Commission (CFTC) protects the public from fraud, manipulation, and abusive practices related to the sale of commodity and financial futures and options, and to fosters open, competitive, and financially sound futures and option markets. They investigate and prosecute commodities fraud, including foreign currency schemes, energy manipulation and hedge fund fraud, and works with other federal and state agencies to bring criminal and other actions."
537,U,U.S. Court of Appeals for Veterans Claims,The Court of Appeals for Veterans Claims hears appeals of decisions made by the Board of Veterans Appeals. You must have a decision from the Board of Veterans Appeals to bring a case before this court.
538,U,U.S. Courts of Appeal,"The U.S. Courts of Appeal hear appeals from lower courts of both civil and criminal trials, but do not investigate the facts of a case. Rather, the Appeals Courts investigate whether or not the law has been fairly and correctly applied by the lower courts."
539,U,U.S. Customs and Border Protection (CBP),Customs and Border Protection (CBP) prevents people from entering the country illegally or bringing anything harmful or illegal into the United States.
540,U,U.S. Cyber Command,The U.S. Cyber Command coordinates cyberspace operations to defend U.S. interests.
541,U,U.S. Department of Agriculture (USDA),"The Department of Agriculture (USDA) provides leadership on food, agriculture, natural resources, and related issues."
542,U,U.S. Department of Commerce (DOC),"The Department of Commerce (DOC) works with businesses, universities, communities, and the Nationâ€™s workers to promote job creation, economic growth, sustainable development, and improved standards of living for Americans."
543,U,U.S. Department of Defense (DOD),"The Department of Defense (DOD) provides the military forces needed to deter war, and to protect the security of the United States."
544,U,U.S. Department of Education (ED),"The Department of Education (ED) fosters educational excellence, and to ensures equal access to educational opportunity for all."
545,U,U.S. Department of Energy (DOE),The Department of Energy (DOE) manages the United States' nuclear infrastructure and administers the country's energy policy. The Department of Energy also funds scientific research in the field.
546,U,U.S. Department of Health and Human Services (HHS),The Department of Health and Human Services (HHS) protects the health of all Americans and provides essential human services.
547,U,U.S. Department of Homeland Security (DHS),"The Department of Homeland Security (DHS) works to improve the security of the United States. The Department's work includes customs, border, and immigration enforcement, emergency response to natural and manmade disasters, antiterrorism work, and cybersecurity."
548,U,U.S. Department of Housing and Urban Development (HUD),The Department of Housing and Urban Development (HUD) administers programs that provide housing and community development assistance. The Department also works to ensure fair and equal housing opportunity for all.
549,U,U.S. Department of Justice (DOJ),"The Department of Justice (DOJ) enforces federal laws, seeks just punishment for the guilty, and ensures the fair and impartial administration of justice."
550,U,U.S. Department of Labor (DOL),"The Department of Labor (DOL) administers federal labor laws to guarantee workers' rights to fair, safe, and healthy working conditions, including minimum hourly wage and overtime pay, protection against employment discrimination, and unemployment insurance."
551,U,U.S. Department of State (DOS),The Department of State (DOS) advises the President and leads the nation in foreign policy issues. The State Department negotiates treaties and agreements with foreign entities and represents the United States at the United Nations.
552,U,U.S. Department of the Interior (DOI),"The Department of the Interior (DOI) manages public lands and minerals, national parks, and wildlife refuges and upholds Federal trust responsibilities to Indian tribes and Native Alaskans. Additionally, Interior is responsible for endangered species conservation and other environmental conservation efforts."
553,U,U.S. Department of the Treasury,"The Department of the Treasury manages federal finances by collecting taxes and paying bills and by managing currency, government accounts and public debt. The Department of the Treasury also enforces finance and tax laws."
554,U,U.S. Department of Transportation (DOT),The Department of Transportation (DOT) is responsible for planning and coordinating federal transportation projects. It also sets safety regulations for all major modes of transportation.
555,U,U.S. Department of Veterans Affairs (VA),"The Department of Veterans Affairs (VA) runs programs benefiting veterans and members of their families. It offers education opportunities and rehabilitation services and provides compensation payments for disabilities or death related to military service, home loan guaranties, pensions, burials, and health care that includes the services of nursing homes, clinics, and medical centers."
556,U,U.S. Election Assistance Commission (EAC),"The Election Assistance Commission (EAC) supports state and local election officials in their efforts to ensure accessible, accurate. and secure elections. EAC develops guidance to meet the Help America Vote Act requirements, adopts voluntary voting system guidelines, and serves as a national clearinghouse of information on election administration. EAC also accredits testing laboratories and certifies voting systems, as well as audits the use of Help America Vote Act funds."
557,U,U.S. European Command (USEUCOM),"The European Command (USEUCOM) works with partner nations to address regional issues, and keep the peace in Europe, parts of the Middle East, and Eurasia."
558,U,U.S. Fire Administration (USFA),"The United States Fire Administration (USFA), part of the Federal Emergency Management Agency, works to prepare for, prevent, respond to all hazards."
559,U,U.S. Fleet Forces Command (USFFC),"U.S. Fleet Forces Command (USFFC) organizes, staffs, trains, maintains, and equips Navy forces, and develops fleet readiness."
560,U,U.S. Geological Survey (USGS),"The U.S. Geological Survey (USGS) is the nation's largest water, earth, and biological science and civilian mapping agency. It collects, monitors, analyzes, and provides scientific understanding of natural resource conditions, issues, and problems."
561,U,U.S. House of Representatives,"The U.S. House of Representatives and the U.S. Senate make up the two chambers of Congress. The House has 435 members, the number representing each state is determined by population."
562,U,U.S. Immigration and Customs Enforcement (ICE),"Immigration and Customs Enforcement (ICE) enforces federal laws governing border control, customs, trade, and immigration."
563,U,U.S. Indo-Pacific Command (USINDOPACOM),The U.S. Indo-Pacific Command (USINDOPACOM) is responsible for defending and promoting U.S. interests in the Pacific and Asia.
564,U,U.S. International Development Finance Corporation (DFC),The U.S. International Development Finance Corporation (DFC) is Americaâ€™s development bank. DFC partners with the private sector to finance solutions to the most critical challenges facing the developing world.
565,U,U.S. International Trade Commission (USITC),"The International Trade Commission (USITC) investigates whether or not, and to what extent, an unfair trade practice harms U.S. businesses. When unfair trade practices are found to harm U.S. businesses, the Commission may implement corrective measures. The Commission also provides the President and Congress impartial information on international trade to inform trade policy."
566,U,U.S. Marine Corps,"The Marine Corps is a branch of the United States Armed Forces responsible for delivering task forces on land, at sea, and in the air."
567,U,U.S. Marshals Service (USMS),"The U.S. Marshals Service (USMS) provides security to the federal judiciary and manages the witness security program. It manages and sells seized or forfeited assets of criminals, is responsible for the confinement and transportation of federal prisoners who have not been turned over to the Bureau of Prisons and is the primary federal agency responsible for fugitive investigations."
568,U,"U.S. Military Academy, West Point",The U.S. Military Academy at West Point provides higher education and training for Army cadets. Graduates go on to become commissioned officers in the U.S. Army.
569,U,U.S. Mint,The U.S. Mint makes the coins used as money the United States. They also produce special edition coins you can buy for coin collections.
570,U,U.S. Mission to the United Nations (USUN),The U.S. Mission to the United Nations (USUN) carries out the nation's participation in the world body.
571,U,U.S. National Central Bureau - Interpol,"Interpol Washington, the U.S. National Central Bureau, coordinates law enforcement activities between U.S. agencies and their international counterparts."
572,U,U.S. Navy,The Navy's primary mission is to defend the United States.
573,U,U.S. Northern Command (USNORTHCOM),"The U.S Northern Command (USNORTHCOM) is responsible for defending the continental United States and Alaska, and for coordinating with the defenses of Canada, Mexico, and the Bahamas."
574,U,U.S. Nuclear Regulatory Commission (NRC),"The Nuclear Regulatory Commission (NRC) regulates commercial nuclear power plants, and other uses of nuclear materials."
575,U,U.S. Parole Commission,"The U.S. Parole Commission considers prisoners' applications for parole, deciding whether or not a prisoner has earned a chance to reintegrate into the community."
576,U,U.S. Patent and Trademark Office (USPTO),The U.S. Patent and Trademark Office (USPTO) is the agency responsible for granting U.S. patents and registering trademarks.
577,U,U.S. Postal Inspection Service,The U.S. Postal Inspection Service supports and protects the U.S. Postal Service and its customers by enforcing the laws that defend the nationâ€™s mail system from illegal or dangerous use.
578,U,U.S. Postal Service (USPS),The U.S. Postal Service (USPS) provides mail processing and delivery services to individuals and businesses in the U.S.
579,U,U.S. Senate,"The U.S. Senate and the U.S. House of Representatives make up the two chambers of Congress. The Senate has 100 members, two from each state, who are elected to serve for a term of six years."
580,U,U.S. Sentencing Commission,"The U.S. Sentencing Commission studies and develops sentencing policies for the federal courts. The Commission serves as an information resource for Congress, the executive, the courts and the public on matters relating to federal crime and sentencing as well."
581,U,U.S. Southern Command (SOUTHCOM),"The U.S. Southern Command (SOUTHCOM) is responsible for security cooperation and operations in Central America, South America, and the Caribbean."
582,U,U.S. Space Command,The U.S. Space Command supports U.S. interests in space.
583,U,U.S. Special Operations Command,"The U.S. Special Operations Command (USSOCOM) oversees the special operations capabilities of the various military branches, coordinates their training, strategy, interoperability and operations."
584,U,U.S. Strategic Command (USSTRATCOM),"The U.S. Strategic Command (USSTRATCOM) detects and deters attacks against the U.S. and its allies. Their mission includes nuclear deterrence, space, and cyberspace capabilities."
585,U,U.S. Trade and Development Agency (USTDA),"The United States Trade and Development Agency (USTDA) links U.S. businesses to export opportunities by funding project planning activities, pilot projects, and reverse trade missions."
586,U,U.S. Trade Representative,The U.S. Trade Representative (USTR) negotiates with foreign governments to craft trade agreements and resolve disputes.
587,U,U.S. Transportation Command (USTRANSCOM),"The U.S. Transportation Command (USTRANSCOM) provides transportation services and capabilities to the other combatant commands, the military services, and defense agencies."
588,U,U.S. Trustee Program,The U.S. Trustee Program protects the integrity of the Federal bankruptcy system. The Program monitors the conduct of bankruptcy parties and private estate trustees. It also identifies and helps investigate bankruptcy fraud and abuse.
589,U,Udall Foundation,"The Udall Foundation provides programs and services focused on the environment and Native nations to individuals, communities, and institutions across the U.S. It provides education, capacity-building, policy research, and training programs, as well as collaboration support including facilitation and mediation services."
590,U,Under Secretary for Political Affairs,"The Department of State Undersecretary for Political Affairs manages overall regional and bilateral policy issues, and oversees the bureaus for Africa, East Asia and the Pacific, Europe and Eurasia, the Near East, South and Central Asia, the Western Hemisphere, and International Organizations."
591,U,Under Secretary for Public Diplomacy and Public Affairs,The Under Secretary for Public Diplomacy and Public Affairs enhances national security by expanding and strengthening the relationship between the people and Government of the United States and citizens of the rest of the world.
592,U,Unified Combatant Commands,The Unified Combatant Commands promote effective and efficient cooperation between the uniformed services.
593,U,Uniformed Services University of the Health Sciences (USU),"The Uniformed Services University of the Health Sciences (USU) is comprised of a School of Medicine and a School of Nursing, providing higher health sciences education and training to service members."
594,U,United States Institute of Peace (USIP),"The United States Institute of Peace (USIP) promotes research, policy analysis, education, and training on international peace and conflict resolution in an effort to prevent and resolve violent conflicts, and to promote post-conflict stability."
595,U,United States Interagency Council on Homelessness (USICH),The U.S. Interagency Council on Homelessness (USICH) works in partnership with every level of government and the private sector to reduce and end homelessness in the nation.
596,V,Veterans Affairs Department (VA),"The Department of Veterans Affairs (VA) runs programs benefiting veterans and members of their families. It offers education opportunities and rehabilitation services and provides compensation payments for disabilities or death related to military service, home loan guaranties, pensions, burials, and health care that includes the services of nursing homes, clinics, and medical centers."
597,V,Veterans Benefits Administration (VBA),"The Veterans Benefits Administration (VBA) helps veterans receive benefits, such as educational and financial resources."
598,V,Veterans Health Administration (VHA),"The Veterans Health Administration (VHA) provides primary care, specialized care, and related medical and social support services to American veterans."
599,V,Veterans' Employment and Training Service (VETS),The Veterans' Employment and Training Service (VETS) helps veterans find meaningful careers and maximize their employment opportunities.
600,V,"Violence Against Women, Office on (OVW)","The Office on Violence Against Women (OVW) reduces violence against women. They help victims of domestic violence, dating violence, sexual assault, and stalking.If you are in immediate danger, call 911."
601,V,Voice of America (VOA),"The Voice of America (VOA) is an international multimedia broadcaster with service in more than 40 languages. Voice of America provides news, information, and cultural programming through the Internet, mobile and social media, radio, and television."
602,W,Wage and Hour Division (WHD),"The Division of Hours and Wages (WHD) is responsible for enforcing the country's labor laws, including those related to the minimum wage and employment of minors."
603,W,Washington Headquarters Services (WHS),The Washington Headquarters Services (WHS) provides essential administrative functions for the Department of Defense.
604,W,Weather Service,"The National Weather Service provides weather, water, and climate forecasts and data."
605,W,West Point Military Academy,The U.S. Military Academy at West Point provides higher education and training for Army cadets. Graduates go on to become commissioned officers in the U.S. Army.
606,W,Western Area Power Administration (WAPA),The Western Area Power Administration (WAPA) markets hydroelectric power generated by federal dams and associated services to public entities in the Western United States.
607,W,White House,"The White House houses the executive office of the President, and serves as the President's residence."
608,W,Wireless Telecommunications Bureau (WTB),The Wireless Telecommunications Bureau (WTB) handles the majority of FCCs wireless telecommunication programs. They set the policies and procedures for the licensing of wireless services. .
609,W,Women's Bureau,"The Department of Labor's Women's Bureau safeguards the interests of working women, advocates for equality, and promotes quality work environments."
610,W,Woodrow Wilson International Center for Scholars,The Woodrow Wilson International Center for Scholars conducts and promotes objective research to inform public policy and debate.
